postcode,locality,state,lat,long
1186,SYDNEY,NSW,-33.8698439,151.2082848
1187,SYDNEY,NSW,-33.8698439,151.2082848
1188,SYDNEY,NSW,-33.8698439,151.2082848
1189,SYDNEY,NSW,-33.8698439,151.2082848
1190,SYDNEY,NSW,-33.8698439,151.2082848
1191,SYDNEY,NSW,-33.8698439,151.2082848
1192,SYDNEY,NSW,-33.8698439,151.2082848
1193,SYDNEY,NSW,-33.8698439,151.2082848
1194,SYDNEY,NSW,-33.8698439,151.2082848
1195,SYDNEY,NSW,-33.8698439,151.2082848
1196,SYDNEY,NSW,-33.8698439,151.2082848
1197,SYDNEY,NSW,-33.8698439,151.2082848
1198,SYDNEY,NSW,-33.8698439,151.2082848
1199,SYDNEY,NSW,-33.8698439,151.2082848
1201,SYDNEY,NSW,-33.8698439,151.2082848
1202,SYDNEY,NSW,-33.8698439,151.2082848
1203,SYDNEY,NSW,-33.8698439,151.2082848
1205,SYDNEY,NSW,-33.8698439,151.2082848
1207,SYDNEY,NSW,-33.8698439,151.2082848
1208,HAYMARKET,NSW,-33.8814408,151.2044524
1209,AUSTRALIA SQUARE,NSW,-33.8648577,151.2078245
1210,AUSTRALIA SQUARE,NSW,-33.8648577,151.2078245
1211,AUSTRALIA SQUARE,NSW,-33.8648577,151.2078245
1212,AUSTRALIA SQUARE,NSW,-33.8648577,151.2078245
1213,AUSTRALIA SQUARE,NSW,-33.8648577,151.2078245
1214,AUSTRALIA SQUARE,NSW,-33.8649298,151.207812
1215,AUSTRALIA SQUARE,NSW,-33.8648577,151.2078245
1216,GROSVENOR PLACE,NSW,-33.8627631,151.2071051
1217,GROSVENOR PLACE,NSW,-33.8627631,151.2071051
1218,GROSVENOR PLACE,NSW,-33.8627631,151.2071051
1219,GROSVENOR PLACE,NSW,-33.8627631,151.2071051
1220,GROSVENOR PLACE,NSW,-33.8627631,151.2071051
1221,ROYAL EXCHANGE,NSW,-33.9110805,151.1578162
1222,ROYAL EXCHANGE,NSW,-33.9110805,151.1578162
1223,ROYAL EXCHANGE,NSW,-33.9110805,151.1578162
1224,ROYAL EXCHANGE,NSW,-33.9110805,151.1578162
1225,ROYAL EXCHANGE,NSW,-33.9110805,151.1578162
1226,QUEEN VICTORIA BUILDING,NSW,-33.8714355,151.2066693
1227,QUEEN VICTORIA BUILDING,NSW,-33.8714355,151.2066693
1228,QUEEN VICTORIA BUILDING,NSW,-33.8714355,151.2066693
1229,QUEEN VICTORIA BUILDING,NSW,-33.8714355,151.2066693
1230,QUEEN VICTORIA BUILDING,NSW,-33.8714355,151.2066693
1231,SYDNEY SOUTH,NSW,-33.8909609,151.2275052
1232,SYDNEY SOUTH,NSW,-33.8909609,151.2275052
1233,SYDNEY SOUTH,NSW,-33.8909609,151.2275052
1234,SYDNEY SOUTH,NSW,-33.8909609,151.2275052
1235,SYDNEY SOUTH,NSW,-33.8909609,151.2275052
1236,HAYMARKET,NSW,-33.8814408,151.2044524
1237,HAYMARKET,NSW,-33.8814408,151.2044524
1238,HAYMARKET,NSW,-33.8814408,151.2044524
1239,HAYMARKET,NSW,-33.8814408,151.2044524
1240,HAYMARKET,NSW,-33.8814408,151.2044524
1291,SYDNEY,NSW,-33.8698439,151.2082848
1292,SYDNEY,NSW,-33.8698439,151.2082848
1293,SYDNEY,NSW,-33.8698439,151.2082848
1294,SYDNEY,NSW,-33.8698439,151.2082848
1295,SYDNEY,NSW,-33.8698439,151.2082848
1296,SYDNEY,NSW,-33.8698439,151.2082848
1297,SYDNEY,NSW,-33.8698439,151.2082848
1298,SYDNEY,NSW,-33.8698439,151.2082848
1299,SYDNEY,NSW,-33.8698439,151.2082848
1300,DARLINGHURST,NSW,-33.8783381,151.219225
1314,EASTERN SUBURBS MC,NSW,,
1335,POTTS POINT,NSW,-33.867522,151.2243115
1340,KINGS CROSS,NSW,-33.8744874,151.2222308
1350,WOOLLAHRA,NSW,-33.8618336,151.2733318
1355,BONDI JUNCTION,NSW,-33.8930034,151.2501228
1360,DOUBLE BAY,NSW,-33.8766373,151.24245
